Nancy   Davolio	Sales Representative	ndavolio@northwind.com I don't understand what you say
Andrew	Fuller	Vice President Sales,	afuller@northwind.com
Janet	Leverling	Sales Representative,	jleverling@northwind.com
Margaret	Peacock	Sales Representative,	mpeacock@northwind.com
Steven	Buchanan	Sales Manager,	sbuchanan@northwind.com
Michael	Suyama	Sales Representative,	msuyama@northwind.com
Robert	King	Sales Representative,	rking@northwind.com
Laura	Callahan	Inside Sales Coordinator,	lcallahan@northwind.com
Anne	Dodsworth	Sales Representative,	adodsworth@northwind.coma	a	a	a
			
			
			
a	a	a	a
a	a	a	a
			
a	a	a	a
a	a	a	a
a	a	a	a
a	a	a	a
			
			
			
			
			
			
			
linh	van	hign	van@gmail.com
linh	van	hign	van@gmail.com
linh	van	hign	van@gmail.com
linh	van	hign	van@gmail.com
linh	van	hign	van@gmail.com
linh	van	hign	van@gmail.com
linh	a	a	a
